StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q19,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Addiction, also known as substance abuse disorder, is a disease that affects 10-15% of the US population. Scientific research has shown that genetic factors can affect how people respond to addictive substances. These genetic differences can influence how the body processes drugs or alcohol, affecting an individual's tolerance and risk of addiction. Genetic variations can also impact how a person experiences pleasure and reinforcement from addictive substances or behaviors, contributing to the development of addiction. Genetic predispositions to mental health disorders can increase the risk of addiction. These conditions may share genetic underpinnings with addictive behaviors. Environmental factors, such as exposure to substances or stressful life events, can interact with genetic makeup to influence addiction risk. Rather than treating those suffering from substance abuse disorder as people with poor moral character or lack of will power, we need to understand they have a disease and help them find proper care.","Please give me your first reaction, yes (check box) or no (leave empty), whether you personally would feel comfortable having
someone who was recently (within the last month) discharged from an addiction treatment facility:","If a group of former addicts lived nearby, I would not allow my children to walk to school alone.","If a former addict applied for a teaching position at a grade school and was qualified for the job I would
recommend hiring him or her.",One important thing about addicts is that you cannot tell what they will do from one minute to the next.,"If I know a person has been an addict, I will be less likely to trust him.","Following failed attempt at rehap, should addicts go to jail to protect the public from addicts.","If a former addict lived nearby I would not hesitate to allow young children under my care to play on the
sidewalk.","Although some addicts may seem all right it is dangerous to forget for a moment that they have the
potential to relapse.",How would you feel about renting a room in your home to someone like Jim Johnson?,How about as a worker on the same job as someone like Jim Johnson?,How would you feel having someone like Jim Johnson as a neighbor?,How about as the caretaker of your children for a couple of hours?,How about having your children marry someone like Jim Johnson?,How would you feel about introducing Jim Johnson to a young woman you are friendly with?,"How would you feel about recommending someone like Jim Johnson for a job working for a friend of
yours?",There should be a law forbidding a former addict the right to obtain a weapons permit.
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}"
2024-03-12 00:26:21,2024-03-12 00:27:59,IP Address,199.253.29.210,100,97,True,2024-03-12 00:28:00,R_7LY87IZPlkxG7od,,,,,37.751,-97.822,anonymous,EN,US population,"Marrying your son/daughter, sibling or other close relative,Marrying your son/daughter, sibling or other close relative,As neighbors on the same street,As co-workers in the same occupation,As a registered voter in my city/county",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Probably willing,Probably willing,Probably willing,Probably willing,Probably willing,Probably willing,Probably willing,Probably willing
2024-03-12 00:30:27,2024-03-12 00:33:02,IP Address,81.161.6.154,100,154,True,2024-03-12 00:33:02,R_3MKJRbaOx5umglK,,,,,40.7662,-74.0178,anonymous,EN,,"Marrying your son/daughter, sibling or other close relative",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Definitely willing,Definitely willing,Definitely willing,Definitely willing,Definitely willing,Definitely willing,Definitely willing,Definitely willing
2024-03-12 00:32:33,2024-03-12 00:38:04,IP Address,209.114.10.222,100,331,True,2024-03-12 00:38:05,R_5saTht2OkAU1FYn,,,,,37.0142,-76.4286,anonymous,EN,"For some individuals, addiction runs in the family and has a strong genetic component. Family studies have shown that the children of people with addiction are eight times more likely to develop an addiction themselves. This may be due to a combination of inherited genetic traits and environmental factors, such as growing up in an environment where substance use is normalized or readily available.","Marrying your son/daughter, sibling or other close relative,Marrying your son/daughter, sibling or other close relative,As co-workers in the same occupation,As a registered voter in my city/county",Agree,Strongly agree,Agree,Strongly agree,Not sure but probably agree,Agree,Strongly agree,Probably willing,Definitely willing,Probably unwilling,Probably willing,Definitely unwilling,Probably unwilling,Probably willing,Probably willing
2024-03-12 00:38:38,2024-03-12 00:39:47,IP Address,209.114.10.131,100,69,True,2024-03-12 00:39:48,R_6WYX4GD2ZR9Qhnr,,,,,37.0142,-76.4286,anonymous,EN,"Scientists have identified several specific genes, such as the dopamine receptor gene and the serotonin transporter gene, that may play a role in addiction. These genes affect how the brain responds to and processes pleasurable experiences, and variations in these genes may make some individuals more sensitive to the effects of drugs or alcohol.","Marrying your son/daughter, sibling or other close relative,As a registered voter in my city/county,As a visitor in my county",Agree,Strongly agree,Not sure but probably agree,Agree,Strongly agree,Not sure but probably agree,Agree,Probably willing,Definitely willing,Probably unwilling,Probably willing,Definitely willing,Probably willing,Definitely willing,Probably willing
2024-03-12 00:42:20,2024-03-12 00:45:14,IP Address,137.155.24.101,100,174,True,2024-03-12 00:45:14,R_2Dqi0nl0x4ZCg5b,,,,,37.751,-97.822,anonymous,EN,Acknowledging the role of genetic factors in addiction susceptibility emphasizes the need for personalized approaches to treatment,"Marrying your son/daughter, sibling or other close relative,As neighbors on the same street",Agree,Not sure but probably agree,Agree,Strongly agree,Not sure but probably disagree,Not sure but probably agree,Strongly agree,Probably willing,Definitely willing,Definitely unwilling,Probably willing,Probably willing,Probably willing,Probably unwilling,Probably willing
2024-03-12 00:44:49,2024-03-12 00:48:12,IP Address,137.155.42.17,100,203,True,2024-03-12 00:48:13,R_2C3B5aCcr5WGgvq,,,,,33.8498,-118.0086,anonymous,EN,"Healthcare, therapy and support programs","As co-workers in the same occupation,As a registered voter in my city/county,As a visitor in my county",Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Probably willing,Definitely willing,Probably willing,Definitely willing,Probably unwilling,Probably willing,Definitely willing,Definitely willing
2024-03-12 00:46:27,2024-03-12 00:48:28,IP Address,81.161.6.33,100,120,True,2024-03-12 00:48:28,R_2uWzr8DTgA3yuDN,,,,,40.7662,-74.0178,anonymous,EN,,"Marrying your son/daughter, sibling or other close relative",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Definitely willing,Definitely willing,Probably willing,Definitely willing,Definitely willing,Definitely willing,Definitely willing,Definitely willing
2024-03-12 00:45:56,2024-03-12 00:48:43,IP Address,209.114.30.232,100,166,True,2024-03-12 00:48:43,R_2EWjyIO2q1gqFVN,,,,,37.751,-97.822,anonymous,EN,the Acknowledging the role of genetic factors in addiction susceptibility emphasizes the need for personalized approaches to treatment,"As neighbors on the same street,As a registered voter in my city/county",Agree,Strongly agree,Not sure but probably agree,Strongly agree,Not sure but probably agree,Agree,Not sure but probably agree,Probably willing,Definitely willing,Probably willing,Definitely willing,Probably willing,Definitely willing,Probably willing,Definitely willing
