StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q7,Q8,Q9,Q10,Q12,Q11,Q13,Q10,Q11,Q12,Q13,Q10,RandomSurveyID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Will there be a management fee?,What percentage?,Will the Management Company receive a Performance Allocation?,Performance Allocation %?,When will the Performance Allocation be assessed?,What is the required initial minimum investment for each investor?,When does the fund accept contributions?,"What exchanges does the Fund plan to use, if known?","Will Fund interests be offered only to ""Acredited Investors""?","Will Fund interests be offered only to ""Qualified Clients""?",When may an Investor make withdrawals from the Fund?,Do you have a degree in Finance?,"Thank you for your time.
 Here is your Mechanical Turk Code:

SM-[int-10000:99000]-AA

Please enter below",RandomSurveyID
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""RandomSurveyID""}"
2024-03-10 23:15:45,2024-03-10 23:16:35,IP Address,208.252.176.225,100,50,True,2024-03-10 23:16:35,R_5rwJg3KMAVnTvVE,,,,,39.9053,-75.0023,anonymous,EN,Yes,1%,Yes,20,Quarterly,"$50,000",Quarterly,Robinhood,Yes,Yes,Quarterly,Yes,SM-67972-AA,95361
2024-03-10 23:15:27,2024-03-10 23:16:43,IP Address,209.114.11.1,100,75,True,2024-03-10 23:16:44,R_24tTVWtzEpVyAyI,,,,,37.0142,-76.4286,anonymous,EN,Yes,2%,Yes,20,Monthly,"$25,000",Monthly,"Coinbase,Gemini",Yes,Yes,Monthly,Yes,SM-94053-AA,23359
2024-03-10 23:15:37,2024-03-10 23:16:54,IP Address,63.112.160.60,100,77,True,2024-03-10 23:16:54,R_5WUuCz6Zxk5vlM2,,,,,39.9053,-75.0023,anonymous,EN,Yes,2%,Yes,20,Quarterly,"$10,000",Quarterly,Robinhood,Yes,Yes,Quarterly,Yes,SM-38139-AA,35402
2024-03-10 23:15:51,2024-03-10 23:18:28,IP Address,209.20.198.80,100,157,True,2024-03-10 23:18:29,R_5CTnMJjUaRtTduK,,,,,40.5175,-74.3991,anonymous,EN,Yes,1%,Yes,15,Monthly,"$10,000",Monthly,Robinhood,Yes,Yes,Monthly,Yes,SM-98702-AA,87377
2024-03-10 23:15:03,2024-03-10 23:18:35,IP Address,191.101.148.74,100,211,True,2024-03-10 23:18:37,R_2zBXByCvWyXii4A,,,,,40.7123,-74.0068,anonymous,EN,Yes,1%,Yes,20,Monthly,"$50,000",Quarterly,Gemini,Yes,Yes,Quarterly,No,SM-34358-AA,45606
2024-03-10 23:16:23,2024-03-10 23:18:57,IP Address,209.20.226.80,100,154,True,2024-03-10 23:18:58,R_2GQayn0iCsh92Yt,,,,,39.013,-76.6742,anonymous,EN,Yes,1%,Yes,15,Quarterly,"$10,000",Monthly,KuCoin,Yes,No,Quarterly,Yes,SM-70121-AA,44442
2024-03-10 23:16:49,2024-03-10 23:21:02,IP Address,209.20.235.251,100,252,True,2024-03-10 23:21:02,R_1GdRXtxXPgvKBxL,,,,,39.013,-76.6742,anonymous,EN,Yes,1%,Yes,20,Monthly,"$25,000",Quarterly,Gemini,Yes,Yes,Quarterly,Yes,SM-38026-AA,11461
2024-03-10 23:21:58,2024-03-10 23:22:52,IP Address,207.180.54.22,100,54,True,2024-03-10 23:22:53,R_7nPf68LkfPAuTzk,,,,,37.751,-97.822,anonymous,EN,Yes,2%,Yes,20,Monthly,"$50,000",Quarterly,Coinbase,Yes,Yes,Monthly,Yes,SM-78983-AA,52867
